project,file1,file2,label
leet-code,Java/Coins in a Line II.java,Java/Data Stream Median.java,0
leet-code,Java/1043. Partition Array for Maximum Sum.java,Java/Strobogrammatic Number II.java,0
leet-code,Java/Find the Celebrity.java,Java/Isomorphic Strings.java,0
leet-code,Java/205. Isomorphic Strings.java,Java/Binary Tree Preorder Traversal.java,1
leet-code,Java/Number of Digit One.java,Java/Orderly Queue.java,1
leet-code,Java/31. Next Permutation.java,Java/Brick Wall.java,1
leet-code,Java/Word Squares.java,Java/Sort List.java,0
leet-code,Java/189. Rotate Array.java,Java/245. Shortest Word Distance III.java,1
leet-code,Java/Alien Dictionary.java,Java/Median of two Sorted Arrays.java,0
java-design-patterns,clean-architecture/src/main/java/com/iluwatar/cleanarchitecture/package-info.java,backpressure/src/test/java/com/iluwatar/backpressure/AppTest.java,0
leet-code,Java/274.H-Index.java,Java/Trim a Binary Search Tree.java,1
leet-code,GenerateCodeTable.java,Java/Best Time to Buy and Sell Stock I.java,0
leet-code,GenerateCodeTable.java,Java/140. Word Break II.java,1
leet-code,Java/274.H-Index.java,Java/Intersection of Two Arrays.java,0
leet-code,Java/1153. String Transforms Into Another String.java,Java/Sliding Window Maximum.java,1
leet-code,Java/1203. Sort Items by Groups Respecting Dependencies.java,Java/2. Add Two Numbers.java,1
leet-code,Java/410. Split Array Largest Sum.java,Java/Find All Numbers Disappeared in an Array.java,1
leet-code,Java/1053. Previous Permutation With One Swap.java,Java/415. Add Strings.java,1
leet-code,Java/112. Path Sum.java,Java/Roman to Integer.java,0
immutables,value-processor/src/org/immutables/value/processor/meta/TypeStringProvider.java,value-fixture/src/org/immutables/fixture/generatorext/Objects.java,0
leet-code,Java/138. Copy List with Random Pointer.java,Java/Maximum Size Subarray Sum Equals k.java,1
leet-code,Java/256. Paint House.java,Java/2 Sum.java,0
leet-code,Java/Combination Sum IV.java,Java/Maximum Vacation Days.java,1
leet-code,Java/257. Binary Tree Paths.java,Java/Hamming Distance.java,1
immutables,value-fixture/src/org/immutables/fixture/DerivedArray.java,mongo/test/org/immutables/mongo/fixture/MongoContext.java,0
leet-code,Java/1007. Minimum Domino Rotations For Equal Row.java,Java/Cracking the Safe.java,1
leet-code,Java/Happy Number.java,Java/Best Time to Buy and Sell Stock III.java,0
leet-code,Java/Merge Intervals.java,Java/Intersection of Two Arrays.java,0
leet-code,Java/414. Third Maximum Number.java,Java/Redundant Connection.java,1
leet-code,Java/9. Palindrome Number.java,Java/Minimum Depth of Binary Tree.java,0
leet-code,Java/293. Flip Game.java,Java/Read N Characters Given Read4 II - Call multiple times.java,0
leet-code,Java/Search in Rotated Sorted Array II.java,Java/Number of Airplane in the sky.java,0
leet-code,Java/359. Logger Rate Limiter.java,Java/Number of Airplane in the sky.java,0
leet-code,Java/51. N-Queens.java,Java/Encode and Decode TinyURL.java,1
leet-code,Java/80.Remove Duplicates from Sorted Array II.java,Java/Merge Sorted Array II.java,1
leet-code,Java/364. Nested List Weight Sum II.java,Java/621. Task Scheduler.java,1
leet-code,Java/63. Unique Paths II.java,Java/Binary Tree Longest Consecutive Sequence II.java,1
leet-code,Java/1106. Parsing A Boolean Expression.java,Java/1197. Minimum Knight Moves.java,1
leet-code,Java/Sparse Matrix Multiplication.java,Java/Best Time to Buy and Sell Stock I.java,0
immutables,value-fixture/src/org/immutables/fixture/NoParametersSingletonProtectedConstructor.java,value-fixture/src/org/immutables/fixture/with/MissingPackageDeclaration.java,0
leet-code,Java/145. Binary Tree Postorder Traversal.java,Java/Valid Number.java,0
immutables,gson/test/org/immutables/gson/adapter/GsonFeaturesTest.java,value-processor/src/org/immutables/value/processor/meta/TypeStringProvider.java,0
leet-code,Java/443. String Compression.java,Java/[lint]. HashHeap.java,1
leet-code,Java/1033. Moving Stones Until Consecutive.java,Java/Find the Celebrity.java,1
leet-code,Java/134. Gas Station.java,Java/Word Squares.java,1
leet-code,Java/Binary Tree Preorder Traversal.java,Java/Kth Smallest Number in Sorted Matrix.java,0
leet-code,Java/63. Unique Paths II.java,Java/Unique Path.java,1
leet-code,Java/366. Find Leaves of Binary Tree.java,Java/621. Task Scheduler.java,1
leet-code,Java/1219. Path with Maximum Gold.java,Java/K Empty Slots.java,1
leet-code,Java/Guess Number Higher or Lower.java,Java/LRU Cache.java,0
leet-code,Java/170. Two Sum III - Data structure design.java,Java/Construct Binary Tree from Inorder and Postorder Traversal.java,1
leet-code,Java/Path Sum IV.java,Java/Paint Fence.java,0
leet-code,Java/Strobogrammatic Number.java,Java/Heapify.java,0
java-design-patterns,actor-model/src/main/java/com/iluwatar/actormodel/Message.java,publish-subscribe/src/main/java/com/iluwatar/publish/subscribe/publisher/PublisherImpl.java,0
leet-code,Java/Binary Tree Preorder Traversal.java,Java/Integer to English Words.java,1
leet-code,Java/Best Time to Buy and Sell Stock.java,Java/Search Rotated in Sorted Array.java,0
leet-code,Java/39. Combination Sum.java,Java/850. Rectangle Area II.java,1
leet-code,Java/222. Count Complete Tree Nodes.java,Java/[HackerRank]. Change to Anagram.java,1
leet-code,Java/14. Longest Common Prefix.java,Java/Edit Distance.java,0
leet-code,Java/287. Find the Duplicate Number.java,Java/Kth Largest Element in an Array.java,1
leet-code,Java/57. Insert Interval.java,Java/Connecting Graph.java,1
leet-code,Java/671. Second Minimum Node In a Binary Tree.java,Java/Populating Next Right Pointers in Each Node II.java,0
leet-code,Java/986. Interval List Intersections.java,Java/Triangles.java,0
leet-code,Java/986. Interval List Intersections.java,Java/Multiply Strings.java,0
leet-code,Java/125. Valid Palindrome.java,Java/Reverse String.java,1
leet-code,Java/523. Continuous Subarray Sum.java,Java/Merge k Sorted Lists.java,1
leet-code,Java/207. Course Schedule.java,Java/46. Permutations.java,1
leet-code,Java/605. Can Place Flowers.java,Java/Sort List.java,0
leet-code,Java/843. Guess the Word.java,Java/Happy Number.java,1
leet-code,Java/632. Smallest Range Covering Elements from K Lists.java,Java/Segment Tree Query.java,0
leet-code,Java/21. Merge Two Sorted Lists.java,Java/Max Sum of Rectangle No Larger Than K.java,1
leet-code,Java/Path Sum IV.java,Java/Convert Binary Search Tree to Sorted Doubly Linked List (in place).java,0
leet-code,Java/410. Split Array Largest Sum.java,Java/Task Scheduler.java,0
leet-code,Java/236. Lowest Common Ancestor of a Binary Tree.java,Java/Moving Average from Data Stream.java,0
leet-code,Java/Add Binary.java,Java/Reverse Linked List.java,1
leet-code,Java/173. Binary Search Tree Iterator.java,Java/557. Reverse Words in a String III.java,1
leet-code,Java/QuickSort.java,Java/Move Zeroes.java,0
leet-code,Java/Cracking the Safe.java,Java/Kth Smallest Number in Sorted Matrix.java,0
leet-code,Java/23. Merge k Sorted Lists.java,Java/429. N-ary Tree Level Order Traversal.java,1
leet-code,Java/349. Intersection of Two Arrays.java,Java/636. Exclusive Time of Functions.java,1
leet-code,Java/Binary Tree Preorder Traversal.java,Java/Insert Delete GetRandom O(1).java,1
leet-code,Java/51. N-Queens.java,Java/Read N Characters Given Read4.java,1
leet-code,Java/1060. Missing Element in Sorted Array.java,Java/410. Split Array Largest Sum.java,1
leet-code,Java/1216. Valid Palindrome III.java,Java/Connecting Graph II.java,1
leet-code,Java/Connecting Graph II.java,Java/String Permutation.java,1
leet-code,Java/429. N-ary Tree Level Order Traversal.java,Java/Minimum Size Subarray Sum.java,0
leet-code,Java/1110. Delete Nodes And Return Forest.java,Java/Backspace String Compare.java,1
immutables,value-fixture/src/org/immutables/fixture/jdkonly/OptionalIntDefault.java,value-fixture/test/org/immutables/fixture/nullable/TypeuseAnnotationTest.java,0
leet-code,Java/Cracking the Safe.java,Java/Diameter of Binary Tree.java,1
leet-code,Java/852. Peak Index in a Mountain Array.java,Java/Find Median from Data Stream.java,1
leet-code,Java/7. Reverse Integer.java,Java/Sort Colors II.java,0
leet-code,Java/243. Shortest Word Distance.java,Java/Backpack.java,0
leet-code,Java/245. Shortest Word Distance III.java,Java/Submatrix Sum.java,1
leet-code,Java/46. Permutations.java,Java/Search Rotated in Sorted Array.java,0
leet-code,Java/39. Combination Sum.java,Java/Brick Wall.java,1
leet-code,Java/[lint]. Nth to Last Node in List.java,Java/Paint Fence.java,0
leet-code,Java/208. Implement Trie (Prefix Tree).java,Java/796. Rotate String.java,1
leet-code,Java/12. Integer to Roman.java,Java/31. Next Permutation.java,1
leet-code,Java/111. Minimum Depth of Binary Tree.java,Java/Sliding Window Maximum.java,1
leet-code,Java/265. Paint House II.java,Java/Maximum Product Subarray.java,1
leet-code,Java/Best Time to Buy and Sell Stock.java,Java/Reverse Pairs.java,1
leet-code,Java/Remove Duplicate Letters.java,Java/Merge k Sorted Arrays.java,0
leet-code,Java/844. Backspace String Compare.java,Java/Longest Substring with At Most K Distinct Characters.java,1
leet-code,Java/10. Regular Expression Matching.java,Java/Interval Sum II.java,0
leet-code,Java/Add Binary.java,Java/Subsets II.java,0
leet-code,Java/1216. Valid Palindrome III.java,Java/Reverse Pairs.java,1
leet-code,Java/Simplify Path.java,Java/Convert Binary Search Tree to Sorted Doubly Linked List (in place).java,0
leet-code,Java/256. Paint House.java,Java/H-Index II.java,0
leet-code,Java/House Robber.java,Java/Paint House.java,1
leet-code,Java/340. Longest Substring with At Most K Distinct Characters.java,Java/Edit Distance.java,0
leet-code,Java/274.H-Index.java,Java/Decode Ways II.java,0
leet-code,Java/215. Kth Largest Element in an Array.java,Java/319. Bulb Switcher.java,1
leet-code,Java/Convert Sorted Array to Binary Search Tree.java,Java/Subarray Sum.java,0
leet-code,Java/1. Two Sum.java,Java/261. Graph Valid Tree.java,1
leet-code,Java/Kth Smallest Element in a Sorted Matrix.java,Java/Unique Characters.java,0
leet-code,Java/689. Maximum Sum of 3 Non-Overlapping Subarrays.java,Java/849. Maximize Distance to Closest Person.java,1
leet-code,Java/1021. Remove Outermost Parentheses.java,Java/Heaters.java,1
leet-code,Java/Count of Smaller Numbers After Self.java,Java/[lint]. Subarray Sum.java,1
leet-code,Java/283. Move Zeroes.java,Java/Sliding Window Maximum.java,1
leet-code,Java/Coins in a Line III.java,Java/Count of Smaller Numbers After Self.java,1
leet-code,Java/Group Anagrams.java,Java/Graph Valid Tree.java,0
leet-code,Java/297. Serialize and Deserialize Binary Tree.java,Java/Segment Tree Query II.java,0
leet-code,Java/211. Add and Search Word - Data structure design.java,Java/Binary Tree Vertical Order Traversal.java,0
leet-code,Java/139. Word Break.java,Java/Word Break.java,1
leet-code,Java/100. Same Tree.java,Java/LRU Cache.java,0
leet-code,Java/Redundant Connection.java,Java/Shortest Distance from All Buildings.java,1
leet-code,Java/28. Implement strStr().java,Java/Median.java,1
leet-code,Java/254. Factor Combinations.java,Java/76. Minimum Window Substring.java,1
leet-code,Java/1197. Minimum Knight Moves.java,Java/Inorder Successor in BST.java,0
leet-code,Java/876. Middle of Linked List.java,Java/Coins in a Line III.java,1
leet-code,Java/1197. Minimum Knight Moves.java,Java/430. Flatten a Multilevel Doubly Linked List.java,1
leet-code,Java/1267. Count Servers that Communicate.java,Java/Read N Characters Given Read4.java,1
leet-code,Java/277. Find the Celebrity.java,Java/Isomorphic Strings.java,0
leet-code,Java/1170. Compare Strings by Frequency of the Smallest Character.java,Java/String Permutation.java,1
leet-code,Java/31. Next Permutation.java,Java/Best Time to Buy and Sell Stock II.java,0
leet-code,Java/211. Add and Search Word - Data structure design.java,Java/405. Convert a Number to Hexadecimal.java,1
leet-code,Java/Permutations II.java,Java/Remove Invalid Parentheses.java,1
leet-code,Java/Exclusive Time of Functions.java,Java/Path Sum.java,1
leet-code,Java/293. Flip Game.java,Java/Convert Binary Search Tree to Sorted Doubly Linked List (in place).java,0
leet-code,Java/140. Word Break II.java,Java/The Skyline Problem.java,0
leet-code,Java/Binary Tree Preorder Traversal.java,Java/3 Sum.java,0
leet-code,Java/721. Accounts Merge.java,Java/727. Minimum Window Subsequence.java,1
leet-code,Java/13. Roman to Integer.java,Java/611. Valid Triangle Number.java,1
leet-code,Java/Judge Route Circle.java,Java/Max Sum of Rectangle No Larger Than K.java,1
leet-code,Java/Reverse Integer.java,Java/Sort Colors.java,0
leet-code,Java/236. Lowest Common Ancestor of a Binary Tree.java,Java/Scramble String.java,1
leet-code,Java/1057. Campus Bikes.java,Java/1213. Intersection of Three Sorted Arrays.java,1
leet-code,Java/HashWithCustomizedClass(LinkedList).java,Java/Segment Tree Build.java,0
leet-code,Java/360. Sort Transformed Array.java,Java/Backpack V.java,1
leet-code,Java/605. Can Place Flowers.java,Java/Count of Smaller Number.java,0
leet-code,Java/Subarray Sum Closest.java,Java/Subarray Sum.java,1
leet-code,Java/199. Binary Tree Right Side View.java,Java/Find Median from Data Stream.java,1
immutables,value-fixture/src/org/immutables/fixture/DefaultSpecialCases.java,value-processor/src/org/immutables/value/processor/meta/LongBits.java,0
leet-code,Java/100. Same Tree.java,Java/Find Peak Element II.java,1
leet-code,Java/Wildcard Matching.java,Java/Remove Duplicates from Sorted List.java,0
leet-code,Java/112. Path Sum.java,Java/Count of Smaller Number.java,0
leet-code,Java/Graph Valid Tree.java,Java/Interval Minimum Number.java,0
leet-code,Java/206. Reverse Linked List.java,Java/Segment Tree Query II.java,0
leet-code,Java/219. Contains Duplicate II.java,Java/408. Valid Word Abbreviation.java,1
leet-code,Java/65. Valid Number.java,Java/First Unique Character in a String.java,1
leet-code,Java/747. Largest Number At Least Twice of Others.java,Java/Max Points on a Line.java,0
leet-code,Java/1170. Compare Strings by Frequency of the Smallest Character.java,Java/Path Sum IV.java,1
immutables,value-fixture/test/org/immutables/fixture/ValuesTest.java,value-fixture/src/nonimmutables/huge/HugeParentOne.java,0
leet-code,Java/Shortest Palindrome.java,Java/Subsets II.java,0
leet-code,Java/133. Clone Graph.java,Java/Lowest Common Ancestor of a Binary Tree.java,1
leet-code,Java/Segment Tree Modify.java,Java/Task Scheduler.java,0
leet-code,Java/133. Clone Graph.java,Java/Sliding Puzzle.java,1
leet-code,Java/242. Valid Anagram.java,Java/[lint]. Segment Tree Query.java,1
leet-code,Java/205. Isomorphic Strings.java,Java/Predict the Winner.java,1
leet-code,Java/67. Add Binary.java,Java/Count of Range Sum.java,1
leet-code,Java/10. Regular Expression Matching.java,Java/H-Index.java,0
leet-code,Java/57. Insert Interval.java,Java/Max Sum of Rectangle No Larger Than K.java,1
leet-code,Java/1110. Delete Nodes And Return Forest.java,Java/680. Valid Palindrome II.java,1
leet-code,Java/Two Sum.java,Java/Jump Game.java,0
leet-code,Java/15. 3Sum.java,Java/Implement Trie (Prefix Tree).java,0
leet-code,Java/721. Accounts Merge.java,Java/Number of Airplane in the sky.java,0
leet-code,Java/Binary Tree Postorder Traversal.java,Java/Longest Common Subsequence.java,0
leet-code,GenerateCodeTable.java,Java/747. Largest Number At Least Twice of Others.java,1
immutables,value-fixture/src/org/immutables/fixture/builder/from/HugeParentTwo.java,value-fixture/src/org/immutables/fixture/builder/huge/CompactTypes.java,0
leet-code,Java/Flood Fill.java,Java/Maximum XOR of Two Numbers in an Array.java,1
leet-code,Java/Design Search Autocomplete System.java,Java/Insert Interval.java,1
leet-code,Java/100. Same Tree.java,Java/311. Sparse Matrix Multiplication.java,1
leet-code,Java/340. Longest Substring with At Most K Distinct Characters.java,Java/Median of two Sorted Arrays.java,0
leet-code,Java/51. N-Queens.java,Java/[HackerRank]. Change to Anagram.java,1
leet-code,Java/Merge Two Binary Trees.java,Java/[lint]. Heapify.java,1
leet-code,Java/First Unique Character in a String.java,Java/Remove Duplicates from Sorted List.java,0
leet-code,Java/65. Valid Number.java,Java/69. Sqrt(x).java,1
leet-code,Java/Linked List Cycle.java,Java/Two Sum II - Input array is sorted.java,0
leet-code,Java/265. Paint House II.java,Java/Kth Largest Element in an Array.java,1
leet-code,Java/359. Logger Rate Limiter.java,Java/Heapify.java,0
leet-code,Java/Prefix and Suffix Search.java,Java/Read N Characters Given Read4 II - Call multiple times.java,0
leet-code,Java/Decode String.java,Java/Intersection of Two Arrays.java,0
leet-code,Java/98. Validate Binary Search Tree.java,Java/Random Pick Index.java,0
immutables,value-processor/src/org/immutables/value/processor/meta/Proto.java,value-processor/src/org/immutables/value/processor/meta/UnshadeJackson3.java,1
leet-code,Java/724. Find Pivot Index.java,Java/Missing Number.java,1
leet-code,Java/448. Find All Numbers Disappeared in an Array.java,Java/The Maze II.java,1
leet-code,Java/142. Linked List Cycle II.java,Java/Permutations.java,1
leet-code,Java/Exclusive Time of Functions.java,Java/First Unique Character in a String.java,1
leet-code,Java/307. Range Sum Query - Mutable.java,Java/Maximum Subarray II.java,0
leet-code,Java/83. Remove Duplicates from Sorted List.java,Java/Trapping Rain Water II.java,0
leet-code,Java/151. Reverse Words in a String.java,Java/Remove Duplicates from Sorted List.java,0
leet-code,Java/53. Maximum Subarray.java,Java/Word Search II.java,0
leet-code,Java/1094. Car Pooling.java,Java/Reverse Integer.java,1
leet-code,Java/5. Longest Palindromic Substring.java,Java/Reverse Integer.java,1
leet-code,Java/Hamming Distance.java,Java/Redundant Connection II.java,1
leet-code,Java/Longest Substring with At Most Two Distinct Characters.java,Java/Lowest Common Ancestor of a Binary Tree.java,1
leet-code,Java/14. Longest Common Prefix.java,Java/64. Minimum Path Sum.java,1
leet-code,Java/938. Range Sum of BST.java,Java/Flatten 2D Vector.java,0
leet-code,Java/125. Valid Palindrome.java,Java/13. Roman to Integer.java,1
leet-code,Java/Word Search II.java,Java/Search Rotated in Sorted Array.java,0
leet-code,Java/402. Remove K Digits.java,Java/438. Find All Anagrams in a String.java,1
leet-code,Java/Longest Substring with At Most Two Distinct Characters.java,Java/Segment Tree Modify.java,0
leet-code,Java/1108. Defanging an IP Address.java,Java/Design Search Autocomplete System.java,1
leet-code,Java/785. Is Graph Bipartite.java,Java/855. Exam Room.java,1
immutables,testing/src/org/immutables/check/ObjectChecker.java,value-fixture/src/org/immutables/fixture/builder/from/HugeParentOne.java,0
leet-code,Java/[lint]. Subarray Sum.java,Java/Roman to Integer.java,0
leet-code,Java/133. Clone Graph.java,Java/387. First Unique Character in a String.java,1
leet-code,Java/724. Find Pivot Index.java,Java/Minimum Size Subarray Sum.java,0
leet-code,Java/360. Sort Transformed Array.java,Java/Intersection of Two Linked Lists.java,0
leet-code,Java/771. Jewels and Stones.java,Java/Search Rotated in Sorted Array.java,0
leet-code,Java/727. Minimum Window Subsequence.java,Java/Word Ladder.java,0
leet-code,Java/26.Remove Duplicates from Sorted Array.java,Java/Longest Common Substring.java,0
leet-code,Java/496. Next Greater Element I.java,Java/Triangles.java,0
leet-code,Java/103. Binary Tree Zigzag Level Order Traversal.java,Java/Random Pick Index.java,0
leet-code,Java/Permutations II.java,Java/Exam Room.java,0
leet-code,Java/149. Max Points on a Line.java,Java/844. Backspace String Compare.java,1
leet-code,Java/236. Lowest Common Ancestor of a Binary Tree.java,Java/8. String to Integer (atoi).java,1
immutables,data/test/org/immutables/data/package-info.java,value-fixture/src/nonimmutables/_underscore/SomeUnderscored.java,0
leet-code,Java/Next Permutation.java,Java/Find the Weak Connected Component in the Directed Graph.java,0
leet-code,Java/43. Multiply Strings.java,Java/4Sum.java,0
leet-code,Java/560. Subarray Sum Equals K.java,Java/Range Sum Query - Immutable.java,0
leet-code,Java/110. Balanced Binary Tree.java,Java/Longest Palindromic Substring.java,0
leet-code,Java/205. Isomorphic Strings.java,Java/Encode and Decode TinyURL.java,1
leet-code,Java/1106. Parsing A Boolean Expression.java,Java/275. H-Index II.java,1
immutables,value-fixture/src/org/immutables/fixture/jackson3/SampleJacksonMapped.java,value-fixture/src/org/immutables/fixture/jdkonly/OptionalDefault.java,0
leet-code,Java/12. Integer to Roman.java,Java/Graph Valid Tree.java,0
leet-code,Java/1267. Count Servers that Communicate.java,Java/Design Search Autocomplete System.java,1
leet-code,Java/Number of Longest Increasing Subsequence.java,Java/Two Sum IV - Input is a BST.java,1
leet-code,Java/Best Time to Buy and Sell Stock with Transaction Fee.java,Java/2 Sum.java,0
leet-code,Java/269. Alien Dictionary.java,Java/Decode String.java,1
leet-code,Java/Connecting Graph III.java,Java/Binary Tree Vertical Order Traversal.java,0
leet-code,Java/104. Maximum Depth of Binary Tree.java,Java/43. Multiply Strings.java,1
leet-code,Java/158. Read N Characters Given Read4 II - Call multiple times.java,Java/Longest Substring Without Repeating Characters.java,0
leet-code,Java/125. Valid Palindrome.java,Java/Insert Interval.java,1
leet-code,Java/200. Number of Islands.java,Java/415. Add Strings.java,1
immutables,value-fixture/src/org/immutables/fixture/DerivedArray.java,value-processor/src/org/immutables/value/processor/meta/ValueAttribute.java,1
leet-code,Java/33. Search in Rotated Sorted Array.java,Java/Alien Dictionary.java,0
leet-code,Java/The Maze II.java,Java/Palindrome Partitioning.java,0
leet-code,Java/Frog Jump.java,Java/Power of Two.java,1
leet-code,Java/21. Merge Two Sorted Lists.java,Java/Minimum Absolute Difference in BST.java,1
leet-code,Java/Simplify Path.java,Java/Flatten 2D Vector.java,0
leet-code,GenerateCodeTable.java,Java/Backpack.java,0
leet-code,Java/235. Lowest Common Ancestor of a Binary Search Tree.java,Java/Palindrome Pairs.java,1
leet-code,Java/981. Time Based Key-Value Store.java,Java/Expression Add Operators.java,1
leet-code,Java/Reverse Words in a String.java,Java/Excel Sheet Column Title.java,0
leet-code,Java/Anagrams.java,Java/Binary Tree Paths.java,0
leet-code,Java/824. Goat Latin.java,Java/986. Interval List Intersections.java,1
leet-code,Java/243. Shortest Word Distance.java,Java/518. Coin Change 2.java,1
leet-code,Java/Merge Two Sorted Lists.java,Java/Alien Dictionary.java,0
leet-code,Java/100. Same Tree.java,Java/Coins in a Line III.java,1
leet-code,Java/168. Excel Sheet Column Title.java,Java/876. Middle of Linked List.java,1
leet-code,Java/[lint]. Lowest Common Ancestor II.java,Java/[lint]. Merge k Sorted Arrays.java,1
leet-code,Java/68. Text Justification.java,Java/788. Rotated Digits.java,1
leet-code,Java/686. Repeated String Match.java,Java/Text Justification.java,0
leet-code,Java/Decode Ways.java,Java/Longest Substring with At Most K Distinct Characters.java,1
leet-code,Java/206. Reverse Linked List.java,Java/Implement Trie (Prefix Tree).java,0
leet-code,Java/26.Remove Duplicates from Sorted Array.java,Java/Intersection of Two Linked Lists.java,0
leet-code,Java/House Robber.java,Java/Segment Tree Query II.java,0
leet-code,Java/221. Maximal Square.java,Java/Smallest Subtree with all the Deepest Nodes.java,1
leet-code,Java/Submatrix Sum.java,Java/Largest Number.java,0
immutables,generator-processor/src/org/immutables/generator/processor/Accessors.java,value-fixture/src/nonimmutables/huge/HugeParentOne.java,0
leet-code,Java/Valid Anagram.java,Java/Best Time to Buy and Sell Stock III.java,0
leet-code,Java/1060. Missing Element in Sorted Array.java,Java/Queue Reconstruction by Height.java,1
leet-code,Java/Permutation in String.java,Java/LRU Cache.java,0
leet-code,Java/100. Same Tree.java,Java/[tool] Quick Select - Median.java,1
leet-code,Java/238. Product of Array Except Self.java,Java/Trim a Binary Search Tree.java,1
